date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:35	56403/56403	---MCZ	200	added ('OK')	text/html	etag:cacheable:af75a8a7c22e9e8fc1f845f6c6426cb7	https://duke-16.myshopify.com/collections/new-arrivals/products/masters-voice	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/masters-voice.html	(from https://duke-16.myshopify.com/)
15:48:37	25511/25511	---MCZ	200	added ('OK')	text/html	etag:cacheable:75515dd2c0bf065fdb97835d94d5773a	https://duke-16.myshopify.com/products/masters-voice	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/masters-voice.html	(from https://duke-16.myshopify.com/)
15:48:37	25812/25812	---M--	200	added ('OK')	image/jpeg	etag:%22b9ceeaaa8d9654e4d580cd2b5880df18%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-hismastersvoice_large.jpg?v=1371219726	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-hismastersvoice_largeaa76.jpg	(from https://duke-16.myshopify.com/)
15:48:38	56412/56412	---MCZ	200	added ('OK')	text/html	etag:cacheable:6b5ecf654985b51efd4baa7afa1873e5	https://duke-16.myshopify.com/collections/new-arrivals/products/nixon	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/nixon.html	(from https://duke-16.myshopify.com/)
15:48:40	25364/25364	---MCZ	200	added ('OK')	text/html	etag:cacheable:56b22aeefa91cc9406120e9451ecf686	https://duke-16.myshopify.com/products/nixon	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/nixon.html	(from https://duke-16.myshopify.com/)
15:48:42	29214/29214	---M--	200	added ('OK')	image/jpeg	etag:%2295f892b4a9731c5635a61aed6806cabc%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-nixon_large.jpg?v=1371219766	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-nixon_large9a17.jpg	(from https://duke-16.myshopify.com/)
15:48:44	56377/56377	---MCZ	200	added ('OK')	text/html	etag:cacheable:ec6d0f674b00470a2a055f34dc6a99cc	https://duke-16.myshopify.com/collections/new-arrivals/products/petty-thief	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/petty-thief.html	(from https://duke-16.myshopify.com/)
15:48:46	25486/25486	---MCZ	200	added ('OK')	text/html	etag:cacheable:2287710ca6220a8160119f9cbd8107e5	https://duke-16.myshopify.com/products/petty-thief	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/petty-thief.html	(from https://duke-16.myshopify.com/)
15:48:47	29050/29050	---M--	200	added ('OK')	image/jpeg	etag:%22cebe2f6a6b4f1ce8a7b87aa229b68ba5%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-pettythief_large.jpg?v=1371219496	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-pettythief_largea781.jpg	(from https://duke-16.myshopify.com/)
15:48:47	56438/56438	---MCZ	200	added ('OK')	text/html	etag:cacheable:b838ce5a5c57e30b894e7931a6188959	https://duke-16.myshopify.com/collections/new-arrivals/products/phones	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/phones.html	(from https://duke-16.myshopify.com/)
15:48:50	25390/25390	---MCZ	200	added ('OK')	text/html	etag:cacheable:187c9b6faeb43236d1095834c2693986	https://duke-16.myshopify.com/products/phones	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/phones.html	(from https://duke-16.myshopify.com/)
15:48:51	24282/24282	---M--	200	added ('OK')	image/jpeg	etag:%2252e7a9bca9f5922fafe93265ba96b2ce%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-phones_large.jpg?v=1371219612	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-phones_largee6f6.jpg	(from https://duke-16.myshopify.com/)
15:48:52	56463/56463	---MCZ	200	added ('OK')	text/html	etag:cacheable:7cef7cdd4b99ca659e2a9e9044c28323	https://duke-16.myshopify.com/collections/new-arrivals/products/rolling-stone	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/rolling-stone.html	(from https://duke-16.myshopify.com/)
15:48:54	20663/20663	---M--	200	added ('OK')	image/jpeg	etag:%223871ec68c55a02f8dfa64d40bcd338ac%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-rollingstone_large.jpg?v=1371219521	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-rollingstone_larged7db.jpg	(from https://duke-16.myshopify.com/)
15:48:54	25429/25429	---MCZ	200	added ('OK')	text/html	etag:cacheable:6d51c90ab439fb6d715fd0d8b7cc84a1	https://duke-16.myshopify.com/products/rolling-stone	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/rolling-stone.html	(from https://duke-16.myshopify.com/)
15:48:56	56259/56259	---MCZ	200	added ('OK')	text/html	etag:cacheable:ddcc124af86c8ac13fda8dfff6c5cb5d	https://duke-16.myshopify.com/collections/new-arrivals/products/tube	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/tube.html	(from https://duke-16.myshopify.com/)
15:48:58	25338/25338	---MCZ	200	added ('OK')	text/html	etag:cacheable:75036c6be5dfa609f82b74c961547903	https://duke-16.myshopify.com/products/tube	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/tube.html	(from https://duke-16.myshopify.com/)
15:48:59	30390/30390	---M--	200	added ('OK')	image/jpeg	etag:%22714669be575613fc336ead1f074c5bd7%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-tube_large.jpg?v=1371219680	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-tube_largefa84.jpg	(from https://duke-16.myshopify.com/)
15:49:18	17597/17597	---MCZ	200	added ('OK')	text/html	etag:cacheable:6f5f8c1a9d3619c86184899b66fed5d9	https://duke-16.myshopify.com/search	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/search.html	(from https://duke-16.myshopify.com/)
15:49:19	5360/5360	---M--	200	added ('OK')	image/png	etag:%22779f7c040c7eb23ff1d402f559e35a49%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/logo_small.png?14125368444965348588	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/logo_smalld1ce.png	(from https://duke-16.myshopify.com/)
15:49:22	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Aug%202015%2014:49:19%20GMT	https://duke-16.myshopify.com/services/javascripts/currencies.js	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/services/javascripts/currencies.43.delayed	(from https://duke-16.myshopify.com/)
15:49:22	669924/669924	---M--	200	added ('OK')	image/jpeg	etag:%2209a80e650884eb7050cc9dfe724407cb%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/slide_1.jpg?14125368444965348588	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/slide_1d1ce.jpg	(from https://duke-16.myshopify.com/)
15:49:25	656823/656823	---M--	200	added ('OK')	image/jpeg	etag:%22be6ab3df8301073f4f9f6bf6d1e34146%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/home_ad_1.jpg?14125368444965348588	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/home_ad_1d1ce.jpg	(from https://duke-16.myshopify.com/)
15:49:25	2886/2886	---M-Z	200	added ('OK')	text/javascript	etag:%22b88db934ec54a1ea1a67fc58b9b8c977%22	https://cdn.shopify.com/s/javascripts/currencies.js	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/javascripts/currencies.js	(from https://duke-16.myshopify.com/)
15:49:25	8032/8032	---M-Z	200	added ('OK')	application/javascript	etag:%22256a9a43d45514a764c238767e78506e%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.currencies.min.js?14125368444965348588	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.currencies.mind1ce.js	(from https://duke-16.myshopify.com/)
15:49:25	816/816	---M--	200	added ('OK')	image/png	etag:%227257c151475ef6ca9dfbc47b53de2b7a%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/flexslider-leftright.png?8007935501806464051	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/flexslider-leftrightd501.png	(from http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/flexslider.css?14125368444965348588)
15:49:26	15287/15287	---M--	200	added ('OK')	image/png	etag:%2211e57e492ee0311540967cc7a1e6e3e2%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/fancybox.png	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/fancybox.png	(from http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.fancybox-1.3.4.css?14125368444965348588)
15:49:26	1102/1102	---M--	200	added ('OK')	image/png	etag:%22fb960b83be4e8f2427174f785d36ca06%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/close-bg-dark.png	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/close-bg-dark.png	(from http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.fancybox-1.3.4.css?14125368444965348588)
15:49:26	43/43	---M--	200	added ('OK')	image/gif	etag:%22325472601571f31e1bf00674c368d335%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/blank.gif	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/blank.gif	(from http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.fancybox-1.3.4.css?14125368444965348588)
15:49:26	70/70	---M--	200	added ('OK')	image/png	etag:%22b886fd165d4b7ac77d41fb52d87ffc60%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/fancy_title_over.png	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/fancy_title_over.png	(from http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/jquery.fancybox-1.3.4.css?14125368444965348588)
